Skills,Tools,Clean up to:,This skill is also searchable by:,total_profiles_usage,added_by,is_depricated
Google Analytics,1,,GA,126,,FALSE
Adobe Analytics,1,,,46,,FALSE
Tableau,1,,,42,,FALSE
google data studio,1,Google Data Studio,,39,,TRUE
Google Tag Manager,1,,,35,,TRUE
excel,1,Excel,,31,,TRUE
Google Analytics 360,1,,,31,,FALSE
google optimize,1,Google Optimize,,29,,TRUE
Optimizely,1,,,23,,FALSE
Adobe Dynamic Tag Management,1,,,22,,FALSE
tealium,1,Tealium,,19,,TRUE
Adobe Target,1,,,14,,FALSE
AWS,1,,,10,,FALSE
doubleclick,1,DoubleClick,,10,,TRUE
hotjar,1,Hotjar,,10,,TRUE
Power BI,1,,,9,,FALSE
Salesforce,1,,,8,,FALSE
Signal,1,,,7,,FALSE
Google adwords,1,Google Adwords,,6,,TRUE
adobe marketing cloud,1,Adobe Marketing Cloud,,5,,TRUE
Adobe Suite,1,,,5,,FALSE
Facebook Ads,1,Facebook Ads,,5,,TRUE
Klipfolio,1,,,5,,FALSE
wordpress,1,Wordpress,,5,user,FALSE
Zapier,1,,,5,,FALSE
Adobe,1,Adobe Experience Cloud,,4,,FALSE
adwords,1,Adwords,,4,,TRUE
MailChimp,1,,,4,,FALSE
Piwik,1,matomo,,4,,FALSE
Redshift,1,,,4,,FALSE
salesforce,1,,,4,,TRUE
SPSS,1,,,4,,TRUE
Webtrekk,1,,,4,,FALSE
Alteryx,1,,,3,,FALSE
clicktale,1,Clicktale,,3,,TRUE
comscore,1,comScore,,3,,TRUE
Crazyegg,1,,,3,,FALSE
Datorama,1,,,3,user,FALSE
Ensighten,1,,,3,,FALSE
Hubspot,1,HubSpot,,3,,TRUE
HubSpot,1,,,3,,FALSE
Kissmetrics,1,,,3,,TRUE
lotame,1,,,3,,TRUE
marketo,1,,,3,,TRUE
Matlab,1,,,3,,TRUE
Oracle,1,,,3,,TRUE
Pipedrive,1,,,3,,FALSE
Sizmek,1,,,3,,TRUE
Slack Integrations,1,,,3,,FALSE
Tealium iQ,1,,,3,,TRUE
adform,1,Adform,,2,,TRUE
Adobe Campaign,1,,,2,,FALSE
Adometry,1,,,2,,FALSE
Apache Spark,1,,,2,user,FALSE
BlueKai,1,Oracle BlueKai,,2,,FALSE
Decibel Insight,1,,,2,,FALSE
Domo,1,,,2,,FALSE
doubleclick,1,DoubleClick,,2,,TRUE
facebook advertising,1,Facebook Ads,,2,,TRUE
Flashtalking,1,,,2,,TRUE
Google,1,,,2,,TRUE
google 360,1,Google Analytics 360,,2,,TRUE
Google Analytics API,1,,,2,,TRUE
Google Sheets,1,,,2,,TRUE
Intercom,1,,,2,,FALSE
Krux,1,Salesforce,,2,,FALSE
Lotame,1,,,2,,FALSE
mailchimp,1,,,2,,TRUE
Marketo,1,,,2,,FALSE
Maxymiser,1,Oracle,,2,,TRUE
Mixpanel,1,,,2,,TRUE
Moat,1,,,2,,TRUE
Monetate,1,,,2,user,FALSE
Omniture,1,,,2,,TRUE
Optimize,1,Google Optimize,,2,,TRUE
Pardot,1,,,2,,FALSE
Qlik,1,,,2,user,FALSE
Qliksense,1,,,2,user,FALSE
Qubit,1,,,2,,TRUE
RapidMiner,1,,,2,user,FALSE
Searchmetrics,1,,,2,,TRUE
Segment,1,,,2,user,FALSE
Sprinklr,1,,,2,,TRUE
Sysomos,1,,,2,,TRUE
Tag Commander,1,Commanders Act,,2,,TRUE
Target,1,,,2,user,FALSE
Teradata,1,,,2,,TRUE
Unbounce,1,,,2,,TRUE
Visio,1,,,2,,TRUE
VWO,1,,,2,user,FALSE
AB Tasty,1,,,1,user,FALSE
Acxiom,1,,,1,,FALSE
Ad Espresso,1,,,1,user,FALSE
Adacado,1,,,1,,TRUE
Adjust,1,,,1,,TRUE
Adjuster,1,,,1,user,FALSE
Adobe Analytics standard & premium,1,Adobe Analytics,,1,user,FALSE
Adobe Audience Manager,1,,,1,,TRUE
Adobe Experience Manager,1,,,1,,TRUE
Adobe Fireworks,1,,,1,user,FALSE
Adobe Lightroom,1,,,1,user,FALSE
Adobe Marketing Cloud solutions,1,Adobe Experience Cloud,,1,user,FALSE
Adobe Media Optimizer,1,,,1,,FALSE
Adobe Photoshop,1,,,1,user,FALSE
Adobe Social,1,,,1,user,FALSE
Adobe Stack,1,Adobe Experience Cloud,,1,,TRUE
Advanced Google Sheets,1,Google Sheets,,1,,TRUE
Airflow,1,,,1,user,FALSE
Amazon Redshift,1,,Redshift,1,user,FALSE
Amazon Web Services,1,,AWS,1,user,FALSE
Amplitude,1,,,1,,TRUE
Analytics Edge (Excel),1,,,1,,TRUE
ANOVA/MANOVA,1,,,1,user,FALSE
Apache Hive,1,,,1,user,FALSE
Appcues,1,,,1,user,FALSE
Asana,1,,,1,user,FALSE
AWS API Gateway,1,,AWS,1,,TRUE
AWS Elastic Beanstalk,1,,AWS,1,,TRUE
AWS EMR,1,,AWS,1,,TRUE
AWS Kinesis,1,,AWS,1,,TRUE
AWS Lambda,1,,AWS,1,,TRUE
AWS Redshift,1,,AWS,1,,TRUE
Azure,1,,,1,,TRUE
Azure SQL,1,,,1,,TRUE
Baremetrics,1,,,1,user,FALSE
BIME,1,,,1,user,FALSE
Birst,1,,,1,user,FALSE
Brandwatch,1,,,1,,TRUE
Buffer,1,,,1,user,FALSE
callrail,1,CallRaill,,1,user,FALSE
Canva,1,,,1,,TRUE
Cisco,1,,,1,,TRUE
Clickhouse,1,,,1,,TRUE
Clicky,1,,,1,user,FALSE
CORBA,1,,,1,,TRUE
Coremetrics,1,,,1,user,FALSE
Couchbase,1,,,1,user,FALSE
Criteo,1,,,1,,TRUE
Crowdflower,1,,,1,user,FALSE
Cryptography,1,,,1,,TRUE
Crystal Reports,1,,,1,user,FALSE
Data Mart,1,,,1,,TRUE
Datameer,1,,,1,user,FALSE
DataRobot,1,,,1,user,FALSE
Datasift,1,,,1,user,FALSE
Docker,1,,,1,user,FALSE
DoubleClick,1,,,1,,FALSE
Drip,1,,,1,user,FALSE
Dunhumby,1,,,1,user,FALSE
Dynatrace,1,,,1,,TRUE
Econometrics,1,,,1,user,FALSE
Excel,1,,,1,,FALSE
Fabric.io,1,,,1,,TRUE
facebook,1,Facebook,,1,,TRUE
Facebook Ad Strategist,1,Facebook Ads,,1,user,FALSE
Facebook Campaigns,1,Facebook Ads,,1,user,FALSE
Facebook Marketer,1,Facebook Ads,,1,user,FALSE
GA,1,Google Analytics,,1,user,FALSE
Google Adwords Campaigns,1,Google Adwords,,1,user,FALSE
Google Adwords. PPC,1,Google Adwords,,1,,TRUE
Google Apps Plugin Development,1,,,1,user,FALSE
Google Apps Script,1,,,1,user,FALSE
Google Big Query,1,Google BigQuery,,1,,TRUE
Google BigQuery,1,,,1,,TRUE
Google Data Studio,1,,,1,,FALSE
Google DataStudio,1,Google Data Studio,,1,user,FALSE
Google Double Click,1,DoubleClick,,1,,TRUE
Google Search Console,1,,,1,user,FALSE
Google Sheets Plugin Development,1,Google Sheets Plugins,,1,user,FALSE
Google Stack,1,,,1,,TRUE
Google Tag Management,1,Google Tag Manager,,1,user,FALSE
google tag mananger,1,Google Tag Manager,,1,,TRUE
Google TagManager,1,Google Tag Manager,,1,user,FALSE
Google Universal Analytics,1,,,1,,TRUE
Google Web Master Tools,1,Google Webmaster Tools,,1,,TRUE
Google Webmaster Tools,1,,,1,,TRUE
GTM,1,,,1,user,FALSE
Hadoop(Spark),1,,,1,user,FALSE
Hitwise,1,,,1,user,FALSE
Hootsuite,1,,,1,user,FALSE
IBM Digital Analytics,1,,,1,user,FALSE
INFORMATICA,1,,,1,user,FALSE
Instagram,1,,,1,,TRUE
Integrator,1,,,1,user,FALSE
JIRA,1,,,1,user,FALSE
Joomla,1,,,1,user,FALSE
Jupyter,1,,,1,user,FALSE
Kafka,1,,,1,user,FALSE
Keen,1,,,1,user,FALSE
Kimball,1,,,1,,TRUE
Kinesis,1,,,1,user,FALSE
klaviyo,1,,,1,,TRUE
Leadpages,1,,,1,user,FALSE
Lean Six Sigma,1,,,1,user,FALSE
LinkedIn Advertising,1,,,1,user,FALSE
Luigi,1,,,1,user,FALSE
Luminate Online,1,,,1,,TRUE
Magento,1,,,1,user,FALSE
MapReduce,1,,,1,user,FALSE
MaxDiff Analysis,1,,,1,user,FALSE
MediaRadar,1,,,1,,TRUE
Microsoft Azure,1,,,1,user,FALSE
Microsoft Excel,1,,,1,,TRUE
Microsoft Office,1,,,1,user,FALSE
Microsoft Power BI,1,,,1,,TRUE
MS BI Suite,1,,,1,,TRUE
MS Office,1,,,1,user,FALSE
MS Project,1,,,1,user,FALSE
MS SQL Server,1,,,1,user,FALSE
ObservePoint,1,,,1,user,FALSE
Office 365,1,,,1,,TRUE
Omniscope,1,,,1,user,FALSE
"Omniture' 
Web Analytics",1,,,1,user,FALSE
OpenRTB,1,,,1,,TRUE
Oracle BlueKai,1,,,1,,TRUE
Oracle Maxymiser,1,,,1,user,FALSE
PeopleSoft,1,,,1,user,FALSE
Permutive,1,,,1,user,FALSE
Photoshop,1,,,1,user,FALSE
PowerBI,1,,,1,,TRUE
PowerPivot,1,,,1,,TRUE
Qlikview,1,,,1,user,FALSE
Qualtrics,1,,,1,user,FALSE
Quantcast,1,,,1,,TRUE
Quantifind,1,,,1,user,FALSE
RabbitMQ,1,,,1,,TRUE
Radian 6,1,,,1,user,FALSE
Salesforce Krux,1,,,1,user,FALSE
Salesforce Stack,1,,,1,,TRUE
Salesfusion,1,,,1,user,FALSE
SAP Xcelsius,1,,,1,user,FALSE
SAS Base/EG/EM,1,,,1,user,FALSE
SAS Visual Analytics,1,,,1,user,FALSE
SCADA,1,,,1,,TRUE
Segmentio,1,,,1,,TRUE
SEM Rush,1,,,1,user,FALSE
Signal - Brighttag,1,,,1,user,FALSE
SiSense,1,,,1,user,FALSE
SiteCatalyst,1,,,1,,TRUE
snowplow analytics,1,,,1,,TRUE
Snowplow Analytics,1,,,1,,FALSE
Social Bakers,1,,,1,user,FALSE
Socket.io,1,,,1,user,FALSE
Solver(MS-Excel),1,,,1,user,FALSE
Spacy,1,,,1,,TRUE
SSAS cube,1,,,1,,TRUE
SSIS,1,,,1,,TRUE
SSRS,1,,,1,,TRUE
SSRS report development,1,,,1,,TRUE
Sumo,1,,,1,user,FALSE
Sysomos Map,1,,,1,user,FALSE
Systems Architecture,1,,,1,user,FALSE
Systems Design,1,,,1,,TRUE
Systems Engineering,1,,,1,,FALSE
Tableau.,1,Tableau,,1,,TRUE
Tapfiliate,1,,,1,user,FALSE
Tealium,1,,,1,,FALSE
Tealium Audience Stream,1,,,1,user,FALSE
Tealium AudienceStream,1,,,1,user,FALSE
Tealium Cloud Delivery,1,,,1,user,FALSE
TeamSite,1,,,1,user,FALSE
Toad Data Modeller,1,,,1,,TRUE
TOGAF,1,,,1,,TRUE
TubeMogul,1,,,1,user,FALSE
Unix/Linux,1,,,1,user,FALSE
VAST,1,,,1,,TRUE
Visual Website Optimizer VWO,1,,,1,,TRUE
VMWare,1,,,1,,TRUE
Weka,1,,,1,user,FALSE
Windows,1,,,1,,TRUE
Word Press,1,,,1,,TRUE
wordpress design,1,,,1,,TRUE
WPEngine,1,,,1,user,FALSE
WuFoo Forms,1,,,1,,TRUE
Yandex Metrics,1,,,1,,TRUE
data analysis,No,,,48,,TRUE
SQL,No,,,45,,FALSE
analytics,No,,,36,,TRUE
R,No,,,33,,FALSE
Digital Strategy,No,,,32,,FALSE
JavaScript,No,,,31,,FALSE
Web Analytics,No,,,31,,FALSE
Python,No,,,29,,FALSE
A/B Testing,No,,,28,,FALSE
Marketing Analytics,No,,,27,,FALSE
tag manager,No,,,24,,TRUE
Data Science,No,,,21,,FALSE
machine learning,No,,,21,,TRUE
Tag Management,No,,,20,,FALSE
Business analytics,No,,,19,,TRUE
Web analytics,No,,,19,,TRUE
Data Mining,No,,,18,,FALSE
digital analytics roadmap,No,,,17,,TRUE
Web Analytics Implementation,No,,,17,,FALSE
Big Data,No,,,16,,FALSE
Project Management,No,,,16,,FALSE
Conversion Rate Optimization (CRO),No,,,15,,FALSE
analysis,No,,,14,,TRUE
HTML,No,,,14,,FALSE
Measurement Strategy,No,,,14,,FALSE
Dashboard Development,No,,,13,,FALSE
Adobe Report Builder,No,,,12,,FALSE
Conversion Optimization,No,,,12,,FALSE
Digital Transformation,No,,,12,,FALSE
Marketing Technology,No,,,12,,FALSE
Predictive Analytics,No,,,12,,FALSE
Strategy Definition,No,,,12,,FALSE
Training,No,,,12,,FALSE
Cross-Channel Attribution,No,,,11,,FALSE
Databases,No,,,11,,FALSE
Digital Marketing,No,,,11,,TRUE
html/css,No,,,11,,TRUE
SAS,No,,,11,,FALSE
business intelligence,No,,,10,,TRUE
Customer Behavior Measurement,No,,,10,,FALSE
Data Management,No,,,10,,FALSE
Data Management Platforms,No,,,10,,FALSE
ad effectiveness measurement,No,Ad Effectiveness Measurement,,9,,TRUE
Data strategy,No,,,9,,TRUE
predictive modelling,No,,,9,,TRUE
APIs,No,,,8,,FALSE
Business Requirements,No,,,8,,FALSE
forecasting,No,,,8,,TRUE
Marketing Strategy,No,,,8,,TRUE
SEO,No,,,8,,TRUE
Statistics,No,,,8,,TRUE
Team Building,No,,,8,,FALSE
API Development,No,,,7,,FALSE
Attribution,No,,,7,,FALSE
CRM,No,,,7,,TRUE
CSS,No,,,7,,TRUE
Data Visualization,No,,,7,,TRUE
DMP,No,,,7,,TRUE
Market Research,No,,,7,,FALSE
Systems Integration,No,,,7,,FALSE
Customer Experience Optimization,No,,,6,,FALSE
Data Governance,No,,,6,,FALSE
Mobile Analytics,No,,,6,,FALSE
PHP,No,,,6,,TRUE
Presentations,No,,,6,,FALSE
Reporting,No,,,6,,TRUE
Reporting Automation,No,,,6,,FALSE
Retargeting,No,,,6,,FALSE
Vendor Evaluation,No,,,6,,FALSE
Webtrends,No,,,6,,TRUE
Artificial Intelligence,No,,,5,,FALSE
B2B,No,,,5,,FALSE
Conversion Rate Optimization(CRO),No,,,5,,TRUE
data warehousing,No,,,5,,TRUE
Digital Analytics,No,,,5,,TRUE
DSP,No,,,5,,TRUE
Process Improvement,No,,,5,,FALSE
Product Management,No,,,5,,FALSE
Data Analysis,No,,,4,,FALSE
DTM,No,,,4,,TRUE
HTML5,No,,,4,,TRUE
Leadership,No,,,4,,TRUE
Management,No,,,4,,TRUE
Market research,No,,,4,,TRUE
marketing,No,,,4,,TRUE
PPC,No,,,4,,TRUE
Programmatic Analytics,No,,,4,,FALSE
Regression,No,,,4,,TRUE
Social Media,No,,,4,,TRUE
Surveys,No,,,4,,FALSE
user experience,No,,,4,,TRUE
VBA,No,,,4,,FALSE
Vendor Negotiation,No,,,4,,FALSE
Visual Website Optimizer,No,,,4,,TRUE
a/b testing,No,A/B Testing,,3,,TRUE
B2C,No,,,3,,FALSE
C,No,,,3,,TRUE
C++,No,,,3,,TRUE
Content Strategy,No,,,3,,TRUE
Data Monetisation,No,,,3,,TRUE
data visualisation,No,,,3,user,FALSE
DAX,No,,,3,,TRUE
ETL,No,,,3,user,FALSE
GDPR,No,,,3,,TRUE
HADOOP,No,,,3,user,FALSE
Java,No,,,3,,TRUE
jquery,No,,,3,,TRUE
Linux,No,,,3,,TRUE
Micro-segmentation,No,,,3,,FALSE
MongoDB,No,,,3,,TRUE
Observe Point,No,,,3,,FALSE
Personalisation,No,,,3,user,FALSE
PROGRAMMATIC,No,,,3,,TRUE
ROI Reporting,No,,,3,,FALSE
Sales,No,,,3,,TRUE
SEM,No,,,3,,TRUE
Solution Design,No,,,3,,FALSE
Statistical Modeling,No,,,3,user,FALSE
strategy,No,,,3,,TRUE
UX,No,,,3,,TRUE
ad servers,No,,,2,,TRUE
AdTech,No,,,2,user,FALSE
Advertising,No,,,2,,TRUE
affiliate marketing,No,,,2,,TRUE
API,No,,,2,,TRUE
Big Query,No,BigQuery,,2,,TRUE
BigQuery,No,,,2,,TRUE
blockchain,No,,,2,user,FALSE
Business Analytics,No,,,2,,FALSE
Business Development,No,,,2,,TRUE
Closed Loop Analytics,No,,,2,,FALSE
communications,No,,,2,,TRUE
conversion rate optimisation,No,,,2,,TRUE
customer loyalty,No,,,2,,TRUE
Data,No,,,2,,TRUE
Data Analytics,No,,,2,,TRUE
Data Engineering,No,,,2,,TRUE
Data Pipelines,No,,,2,,FALSE
Data Wrangling,No,,,2,user,FALSE
data-driven marketing,No,,,2,,TRUE
Database Administration,No,,,2,,FALSE
deep learning,No,,,2,user,FALSE
digital advertising,No,,,2,,TRUE
Display Advertising,No,,,2,,TRUE
DMPs,No,,,2,,TRUE
Dynamic Creative,No,,,2,,TRUE
E-commerce,No,,,2,user,FALSE
eCommerce,No,,,2,,TRUE
Email Marketing,No,,,2,user,FALSE
Factor Analysis,No,,,2,user,FALSE
financial planning,No,,,2,,TRUE
Go To Market,No,,,2,user,FALSE
growth marketing,No,,,2,,TRUE
jQuery,No,,,2,,FALSE
Look-alike modelling,No,,,2,,FALSE
Mobile Advertising,No,,,2,,TRUE
Multivariate Testing,No,,,2,user,FALSE
MySQL,No,,,2,user,FALSE
Nodejs,No,,,2,,TRUE
Operations,No,,,2,,TRUE
predictive analytics,No,,,2,,TRUE
Predictive Modeling,No,,,2,user,FALSE
Program Management,No,,,2,,TRUE
Qualitative Research,No,,,2,,FALSE
R programming,No,,,2,user,FALSE
Retail,No,,,2,user,FALSE
sap,No,,,2,,TRUE
Search Engine Optimization,No,,,2,,TRUE
segmentation,No,,,2,,TRUE
Social Media Marketing,No,,,2,user,FALSE
Software Development,No,,,2,,TRUE
SQL Server,No,,,2,,TRUE
SSP,No,,,2,user,FALSE
Tag Management Systems,No,,,2,user,FALSE
Targeting,No,,,2,,TRUE
Team Management,No,,,2,user,FALSE
Technical SEO,No,,,2,,TRUE
testing,No,,,2,,TRUE
text analytics,No,,,2,,TRUE
tracking,No,,,2,,TRUE
usability,No,,,2,,TRUE
usability testing,No,,,2,,TRUE
ux testing,No,,,2,,TRUE
Vendor Management,No,,,2,user,FALSE
.NET,No,,,1,user,FALSE
1st party data,No,,,1,,TRUE
2nd party data,No,,,1,,TRUE
3rd party audience data,No,,,1,user,FALSE
3rd party data,No,,,1,,TRUE
A/B/n & Multivariate testing,No,A/B Testing,,1,user,FALSE
AARRR metrics,No,,,1,,TRUE
Access,No,,,1,user,FALSE
Account Management,No,,,1,,TRUE
Acquisition Marketing,No,,,1,user,FALSE
Activation Strategy,No,,,1,user,FALSE
Actuarial,No,,,1,user,FALSE
ad effectiveness measurement,No,Ad Effectiveness Measurement,,1,,TRUE
ad fraud,No,,,1,user,FALSE
ad serving,No,,,1,,TRUE
Ad Tech,No,,,1,user,FALSE
ad tech vendor analysis,No,,,1,user,FALSE
Ad technology assessment and selection,No,,,1,user,FALSE
Ad verification,No,,,1,,TRUE
adometry (attribution),No,Adometry,,1,,TRUE
Adservers,No,,,1,,TRUE
Advance excel,No,Advanced Excel,,1,user,FALSE
Advanced digital analytics,No,,,1,user,FALSE
advertising operations,No,,,1,,TRUE
advertising technologies,No,,,1,,TRUE
Advertising Technology,No,,,1,user,FALSE
Agency Ad Server,No,,,1,user,FALSE
Agile,No,,,1,user,FALSE
Agile practices,No,,,1,user,FALSE
agile project management,No,,,1,,TRUE
analytic,No,,,1,user,FALSE
analytic analysis,No,,,1,,TRUE
analytics analysis,No,,,1,,TRUE
analytics configuration,No,,,1,user,FALSE
analytics deployment,No,,,1,user,FALSE
analytics management,No,,,1,user,FALSE
analytics specification,No,,,1,user,FALSE
Analytics Tool set-up,No,,,1,user,FALSE
Angular,No,,,1,,TRUE
App Measurement,No,,,1,,TRUE
Application Services,No,,,1,user,FALSE
Architecture,No,,,1,,TRUE
AT Internet,No,,,1,user,FALSE
attribution,No,,,1,,TRUE
attribution platforms,No,,,1,,TRUE
Audience insights,No,,,1,job,FALSE
Audience strategy,No,,,1,user,FALSE
AudienceStream,No,,,1,,TRUE
Auditing,No,,,1,,TRUE
Automation,No,,,1,user,FALSE
Bayesian Statistics,No,,,1,user,FALSE
Best practices and knowledge transfer,No,,,1,user,FALSE
bid managers,No,,,1,,TRUE
big data analytics,No,,,1,,TRUE
Biostatistics,No,,,1,user,FALSE
Board advisory member,No,,,1,user,FALSE
brand development,No,,,1,,TRUE
brand strategy,No,,,1,user,FALSE
Branding,No,,,1,,TRUE
Business Analysis,No,,,1,user,FALSE
business analyst,No,,,1,,TRUE
Business Calculations,No,,,1,,TRUE
Business forecast,No,,,1,user,FALSE
Business objects,No,,,1,user,FALSE
Business Planning,No,,,1,user,FALSE
Business Process Automation,No,,,1,user,FALSE
Business Process Improvement,No,,,1,user,FALSE
Business Processes,No,,,1,user,FALSE
Business transformation,No,,,1,user,FALSE
Buyer Personas,No,,,1,user,FALSE
campaign monitor,No,,,1,,TRUE
Campaign Optimization,No,,,1,user,FALSE
capability assessment,No,,,1,user,FALSE
Capacity Management,No,,,1,,TRUE
Capacity Optimization,No,,,1,,TRUE
CartoDB,No,,,1,,TRUE
Causal Analysis,No,,,1,user,FALSE
CCP,No,,,1,,TRUE
CDP,No,,,1,user,FALSE
Cell and Molecular Biology,No,,,1,user,FALSE
Choice Modeling,No,,,1,user,FALSE
CISSP,No,,,1,,TRUE
CITP,No,,,1,,TRUE
Classy,No,,,1,,TRUE
Client Communication,No,,,1,,TRUE
Cloud Conversion,No,,,1,user,FALSE
Cluster Analysis,No,,,1,user,FALSE
Clustering,No,,,1,,TRUE
COBOL,No,,,1,user,FALSE
cognitive walkthroughs,No,,,1,user,FALSE
Commercial leadership,No,,,1,user,FALSE
Commercial modelling - advice & implementation,No,,,1,user,FALSE
commercial strategy,No,,,1,user,FALSE
Communication,No,,,1,,TRUE
Competitive intelligence benchmarking & evaluation,No,,,1,user,FALSE
Competitor Analysis,No,,,1,user,FALSE
Complex Problem Solving,No,,,1,user,FALSE
Conjoint Analysis,No,,,1,user,FALSE
